Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Zhanar B,13 апреля 2025,"Инстаграммное место, не более. На первом этаже всего одна кабинка туалета, он и мужской и женский на 45 посадочных мест . Руки мыть вообще на проходе. Брали блюдо с креветками 3 креветки поделены вдоль и раскиданы по тарелке для создания объема. Теперь у ребёнка ещё живот болит и тошнота после ужина в этом месте. Кажется отравление",1,Bella Ciao,4.6,2042
Miu Miu,13 апреля 2025,"Атмосфера топ. Все,что заказали было вкусно. Обслуживание на высшем уровне, персонал приветливый и вежливый. Нас обслуживал официант Тимофей, отдельное ему спасибо! Вернемся к вам еще 1000 раз 😊",5,Bella Ciao,4.6,2042
kampotka .,13 апреля 2025,"Посетили этот ресторан по рекомендации друзей — и ни капли не пожалели! Атмосфера уютная, интерьер продуман до мелочей, а обслуживание на высшем уровне: официанты вежливые, внимательные и очень доброжелательные.",5,Bella Ciao,4.6,2042
alinxllov 0-0,13 апреля 2025,Спасибо официанту Александру за хорошее обслуживание и знание кухни,5,Bella Ciao,4.6,2042
Dina Faizulina,13 апреля 2025,"Брали сегодня пиццу «груша горгондзола» и «говядина руккола» - очень вкусно! Сделали минут за 10, вежливый приветливый персонал, приятно находиться внутри заведения - все чистенько, аккуратненько. Получили гастрономическое и эстетическое наслаждение. Спасибо ❤️",5,Bella Ciao,4.6,2042
Assel Kadyrova,13 апреля 2025,"Заказали ризотто с креветками. Принесли блюдо с не до конца очищенными от «какашек» креветок. Сразу аппетит в ноль. Подошла управляющая, забрала блюдо и сказали поменяют за 5-10 минут. Поменяли быстро, но не понравилось отношение менеджера, так как можно было по человечески принести извинения за неудобства, как в других нормальных заведениях. Я бы не писала отзыв, если бы после съеденного не появились неприятные ощущения в желудке, тошнота. Обслуживание официанта очень приятное, приветливая женщина.",3,Bella Ciao,4.6,2042
Assel Kalybekova,13 апреля 2025,"Очень вкусно,отдельно спасибо Никите)))",5,Bella Ciao,4.6,2042
Tolkyn Wave-kz,13 апреля 2025,"Посетили ресторан 1 апреля, все понравилось, очень вкусная итальянская кухня, пицца на высоте, холодный вишневый компот освежил, интерьер светлый уютный, обслуживание хорошее. Желаю успехов и процветания!",5,Bella Ciao,4.6,2042
Дана Бейсенова,13 апреля 2025,"Интерьер, реклама все отлично, но кухня не сказать, что прям супер. На один раз сходить можно, но не могу сказать что приду еще раз. Еще когда мы на летники ужинали, приходил цыган, чтоб что-то продать, и в наглую продавал, и это просто добило впечатление, мы то пришли хорошо провести вечер, а тут на жалость давят, что мы здесь кушаем…",3,Bella Ciao,4.6,2042
Ак 007,"12 апреля 2025, отредактирован",😍😍😍😍,5,Bella Ciao,4.6,2042
ЕльдАr 🚗,12 апреля 2025,🔥,5,Bella Ciao,4.6,2042
tannur temirbekova,12 апреля 2025,✨,4,Bella Ciao,4.6,2042
Aidana О.,12 апреля 2025,"Все вкусно, особенно чизкейк с тирамису. Атмосфера приятная, очень красиво и уютно.",5,Bella Ciao,4.6,2042
Azhara Us,"11 апреля 2025, отредактирован","Интерьер симпатичный. Кухня чуть выше среднего, но порции довольно маленькие. Вечером темно, отсутствует освещение в летнике. Когда мы ужинали, сотрудники начали расставлять цветы и шумели. Это было неприятно — создавалось ощущение неуважения к гостям. Мы скорее доели ужин и поспешили уйти.",3,Bella Ciao,4.6,2042
Аяулым Ермеккызы,11 апреля 2025,Очень красиво и вкусно.Сервис на высшем уровне.Приду еще раз,5,Bella Ciao,4.6,2042
Tomiris Ishanova,10 апреля 2025,"Кухня, атмосфера и обслуживание в этом заведение есть все эти три пункта, и все они 10/10🔝🔝🔝
Отдельная часть пицца 4сыра, в Алмате такого вкусна и такого теста точно не найти!
Официанты суперские, уточняют все ли понравилось, знают от и до все меню, очень улыбчивые и вежливые😊
Отдельная похвала девочке хостесс🥹, даже в праздничные дни она пыталась всех посадить за стол, лучшая🩵 к сожалению имени не запомнили
В общем всем советую данное заведение🤗",5,Bella Ciao,4.6,2042
Виктория Пахомова,"10 апреля 2025, отредактирован",Приятное заведение с красивым интерьером и классной атмосферой. Однако обслуживание странное — официанта пришлось ждать около 20 минут. Зато заказ принесли довольно быстро.,5,Bella Ciao,4.6,2042
Zhaniya Abdrakhman,"10 апреля 2025, отредактирован","Ожидала большого от этого места, но, к сожалению, сервис разочаровал, а еда в итоге не оправдала ожиданий. Официант долго приносил заказ, а когда наконец принёс, перепутал блюда. Когда мы уточнили, он внезапно ""переобулся"" и начал утверждать обратное, а затем просто ушёл, будто ничего не произошло. Приборы нам тоже не принесли, пришлось ждать, а потом самим идти к стойке, чтобы их взять. Томатный суп был неплох, пицца с грушей и горгонзолой была вкусная, но равиоли с курицей и говяжьими щёчками оказались посредственными — совершенно безвкусными.",1,Bella Ciao,4.6,2042
Ана Ра,"10 апреля 2025, отредактирован","Однозначно приду еще раз. Очень вкусно! Интерьер, обслуживание. И каноли любимое. Официанты👍👍👍 Омирхан и Диас.",5,Bella Ciao,4.6,2042
Aaa Bbb,"9 апреля 2025, отредактирован","Проводила тут свое день рождение в компании любимого человека.🎂Замечательный и вежливый персонал, нам очень понравилась еда🥰❤️ Очень уютно и атмосферно",5,Bella Ciao,4.6,2042
Meruert Satbaeva,9 апреля 2025,"Сидела мин 15 никто так и не подошел, админ говорит сейчас пишу официанту 😂 что за бред? Я не собираюсь бегать за вами….. сервис просто ужасный! Ни ногой туда",1,Bella Ciao,4.6,2042
Dana Muhamedalieva,9 апреля 2025,"Посадили нас между людей, сидели в см и слушали как кушают люди, под ресторана пустого, а пересадить не могут никуда!
Испортили мне День Рождения!
Ужасно",1,Bella Ciao,4.6,2042
Ai M,9 апреля 2025,"Были 7 го апреля поздно вечером , еда да очень вкусная, пицца тает во рту , в остальных блюдах было очень много сыра что и давало понять что мы находимся в Итальянском ресторане. Атмосфера в зале была шумная , интерьер очень красивый . Как говорится инстаграмное заведение . Но главный минус это было что хостес абсолютно не заинтересована в своей работе . При входе встретила холодно , на вопрос есть ли места на втором этаже она ответила что посадка полная , но я настояла на своем и поднялась посмотреть , и что самое интересное было свободно почти пол зала . Далее ок , присели , сидим минут 5/7 к нам никто не подходит , пришлось громко позвать официанта то ли это был менеджер не известно , подошел и говорит а кто вас сюда посадил этот стол еще не готов , мы с подругами тупо не поняли о чем идет речь если мы уже сидим и ждем . Два не понятных момента которые оставили не особо приятный осадок . Посадка была слабая но даже при этом в зале не увидела менеджера , хотя в тануки всегда менеджер находится в зале и берет обратную связь. Но официант который нас обслуживал был хорош , вкусно предложил по меню и очень быстро обслужил и вежливо . Это сгладило всю ситуацию.",3,Bella Ciao,4.6,2042
Monika Lim,9 апреля 2025,"Очень уютное итальянское кафе с атмосферой настоящей Италии. Приветливый персонал, быстрое обслуживание и просто восхитительная паста! Особенно понравилась пицца — обязательно вернусь!",5,Bella Ciao,4.6,2042
Apple User,9 апреля 2025,Атмосфера ✨ уютно 💜 Вкусно накормили,5,Bella Ciao,4.6,2042
Kseniya Sinitsa,9 апреля 2025,"Отличное место, все красиво и вкусно, персонал внимательный",5,Bella Ciao,4.6,2042
Dinara Daurenbekova,9 апреля 2025,"Были вчера с подругой. Красивый интерьер в виде микса культур, необычно. По еде неплохо, но фисташковый чизкейк разочаровал🫤
Также паста была почти остывшей",3,Bella Ciao,4.6,2042
Nura,8 апреля 2025,"Спасибо большое за отличный вечер! Особо хочу отметить прекрасный сервис, официант Никита профессионал своего дела)",5,Bella Ciao,4.6,2042
Алуа Жанат,8 апреля 2025,"Классное заведение, очень вкусно, эстетично 😍Сервис на высшем уровне, спасибо официанту Никите 👍",5,Bella Ciao,4.6,2042
Gulim Malikova,"19 апреля 2025, отредактирован",Все очень вкусно,5,Qaimaq,4.6,1026
Marzhan Marzhan,17 апреля 2025,Вкусно,5,Qaimaq,4.6,1026
Наталья Киприна,13 апреля 2025,"Тихо, уютно, очень вкусно! Каждое блюдо - отдельный вид счастья)",5,Qaimaq,4.6,1026
Glory Lim,"12 апреля 2025, отредактирован",Понравилось,5,Qaimaq,4.6,1026
Apple User,9 апреля 2025,Все очень вкусно 👍,5,Qaimaq,4.6,1026
Random Guy,"8 апреля 2025, отредактирован","сразу оценка ниже ""0""! Национальная кухня несовместима с пивоварней и с любыми спиртными напитками! Качество еды оставляет желать лучшего! Отстой полный!",1,Qaimaq,4.6,1026
Aisulu Latypova,5 апреля 2025,"Раньше часто приходили в это заведение , потому как кухня была на высшем уровне и соответствующее обслуживание.
Однако последнее посещение нас разочаровало.Качество блюд не сравнить с тем, что было раньше. Видимо поменялся повар. Очень жаль.. Не думаю, что приду ещё раз. Нет желания. Не вкусно. По обслуживанию - нареканий нет. Обычно, я не пишу отзывы, здесь не удержалась. Пишу не для того чтобы испортить Вам рейтинг, а для того, чтобы администрация все же исправила положение дел на кухне.",3,Qaimaq,4.6,1026
Symba Sun,"4 апреля 2025, отредактирован","Я всегда посещала это заведение, когда мне хотелось отведать национальные блюда, но в этот раз я осталась очень разочарована.

Бешбармак оказался слишком жирным и имел неприятный запах. Кроме того, в нём было слишком много соли.
Официант неприветливый и постоянно не довольное лицо
Тёщин язык из холодильника. К сожалению, соус внутри уже подсох, и есть его стало невозможно.",2,Qaimaq,4.6,1026
Бауыржан Досхан,"3 апреля 2025, отредактирован",Очень вкусный бешбармак! Все 👍,5,Qaimaq,4.6,1026
Садыханов Адилет,"3 апреля 2025, отредактирован",Астанадан келген конагымды куттым Оте керемет топ,5,Qaimaq,4.6,1026
А Б,2 апреля 2025,"Были на обеде в этом ресторане с коллегами. Заказывал шашлык из куриного филе, и, к сожалению, обнаружил волос прямо внутри блюда. Позвал администратора – он извинился, предложил заменить блюдо и приготовить заново. Но аппетита после такого уже не было. Также в качестве компенсации перед уходом предлагали десерт.

С одной стороны, неприятно, что такое вообще случилось, особенно с основным блюдом. С другой – персонал оперативно отреагировал и постарался исправить ситуацию. Но, конечно, хотелось бы, чтобы контроль за качеством блюд был на более высоком уровне, чтобы подобных моментов не возникало.",1,Qaimaq,4.6,1026
Dimash 777,29 марта 2025,Зор зор,5,Qaimaq,4.6,1026
Айгуль Дюсенбаева,23 марта 2025,"Астанадан келген едік қонаққа, осы жерге жаяу жүріп кірген болатынбыз. Қызмет көрсету жоғары, тамақтары дәмді 🙏🏻🙏🏻🙏🏻",5,Qaimaq,4.6,1026
sadrus 24,"22 марта 2025, отредактирован","Посетили заведение 22 марта около 15:00. При входе хостес задала неуместный вопрос: успеем ли мы поесть до ифтара? Это выглядело как дискриминация, учитывая, что мы находимся в светском государстве. Если бы мы не успели, нас бы просто не пустили?
Обслуживание отсутствовало: позвали официанта, он посмотрел в нашу сторону и ушел, ничего не сказав. Остался крайне неприятный осадок.
Создалось впечатление, что гостей, пришедших до ифтара, здесь считают менее приоритетными, возможно, потому что в вечернее время гости тратят больше…",1,Qaimaq,4.6,1026
Наргиз К,"22 марта 2025, отредактирован","ужасно!!! пришли 22 марта на наурыз в приблизительно 15:00 часов. на входе хостел спросила успеем ли мы поесть здесь до ифтара (что уже не особо приятно для гостя), мы ответили, что да, не догадываясь о том, что к нам никто из официантов не подойдет на протяжении 20 минут, что мы там прождали. людей было не много, официантов достаточно. Даже после того, как мы попросили одного из официантов принять заказ, он несколько раз проходил мимо и игнорировал нас, делая вид, что не замечает. по итогу мы ушли голодные, на выходе я также сообщила об этом хостес, но она лишь извинилась, никак не пытаясь урегулировать ситуацию и не желая помочь.",1,Qaimaq,4.6,1026
Алия Смагулова,"21 марта 2025, отредактирован","Очень вкусно готовят 😍🤪 все блюда были вкусные и очень сытные
И отличное обслуживание 👍🏽 приятная девушка официант
Имя к сожалению не запомнили",5,Qaimaq,4.6,1026
Райымбек Сиылканов,21 марта 2025,Сухраб рахмет оте жаксы кызмет жасады))),5,Qaimaq,4.6,1026
Алла Глуховченко,"19 марта 2025, отредактирован",Очень вкусные национальные блюда и прекрасное обслуживание!,5,Qaimaq,4.6,1026
Садриддин Аязов,17 марта 2025,Всё нормально,4,Qaimaq,4.6,1026
A Lyazzat A,"17 марта 2025, отредактирован",Фирменный балқаймақ в слишком маленькой кесушке. В него бауырсак не влезает.,4,Qaimaq,4.6,1026
Alex G,16 марта 2025,"Хорошее место. Но в последний раз не понравилось два момента.
1. Шорпа пересоленая и не вкусная.
2. Когда мы пришли в 16:30 нам сказали что все забронировано на 18:00. Мы сказали что успеем до 18:00. Но в 17:26 нам стали намекать что нам пора уходить и стояли над душой. Мы рассчитались и ушли. Как говорится осадок остался",2,Qaimaq,4.6,1026
Said D,12 марта 2025,"Постоянно беру куырдак из гуся, очень вкусный👍главное не сильно соленый",5,Qaimaq,4.6,1026
Роман Горяченков,11 марта 2025,Все очень вкусно! Очень понравилось! Национальная кухня высшего уровня! И обслуживание на высоте. Обязательно рекомендую для посещения!,5,Qaimaq,4.6,1026
